pair	order_index	arm	successful_requests	median_ttft_ms	p90_ttft_ms	total_token_throughput
1	1	baseline	110	2039.98	2959.05	481297.63
1	2	candidate	110	1887.18	3460.40	468578.53
2	3	candidate	110	1910.80	2827.27	502934.23
2	4	baseline	110	2042.12	2993.67	476924.22
3	5	baseline	110	2068.38	3158.83	448845.10
3	6	candidate	110	1933.67	2870.08	486640.21
4	7	candidate	110	2057.02	2891.13	489651.88
4	8	baseline	110	2056.02	3035.39	448084.26
5	9	baseline	110	2040.72	3144.12	452544.29
5	10	candidate	110	1963.03	3487.86	468435.15
