requirement	step	exit_code	started_utc	finished_utc	log
required	environment/lock_receipt	0	2026-07-22T18:19:25.835976654Z	2026-07-22T18:19:25.853714829Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/lock_receipt.log
required	environment/source_identity	0	2026-07-22T18:19:25.856126283Z	2026-07-22T18:19:25.914413858Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/source_identity.log
required	environment/compute_processes_before	0	2026-07-22T18:19:25.917211022Z	2026-07-22T18:19:25.924056678Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/compute_processes_before.log
required	environment/check_env	0	2026-07-22T18:19:25.926412651Z	2026-07-22T18:19:34.581822040Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/check_env.log
required	environment/nvidia_smi	0	2026-07-22T18:19:34.584476432Z	2026-07-22T18:19:34.684083391Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/nvidia_smi.log
required	environment/topology	0	2026-07-22T18:19:34.687061241Z	2026-07-22T18:19:34.952768602Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/topology.log
required	environment/p2p_capability	0	2026-07-22T18:19:34.955536341Z	2026-07-22T18:19:35.230828791Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/p2p_capability.log
required	environment/nvlink_status	0	2026-07-22T18:19:35.233770237Z	2026-07-22T18:19:35.386026193Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/nvlink_status.log
required	environment/nvlink_throughput_before	0	2026-07-22T18:19:35.388410033Z	2026-07-22T18:19:35.621348973Z	/tmp/tp_allreduce_reachability_20260722T181038Z/environment/nvlink_throughput_before.log
required	reachability/m16	0	2026-07-22T18:19:35.624615444Z	2026-07-22T18:19:53.506236330Z	/tmp/tp_allreduce_reachability_20260722T181038Z/reachability/m16.log
required	reachability/m32	0	2026-07-22T18:19:53.509291480Z	2026-07-22T18:20:11.225170325Z	/tmp/tp_allreduce_reachability_20260722T181038Z/reachability/m32.log
required	reachability/prefill	0	2026-07-22T18:20:11.227922198Z	2026-07-22T18:20:28.185642764Z	/tmp/tp_allreduce_reachability_20260722T181038Z/reachability/prefill.log
required	semantics/tp4_allreduce_decode_m16.eager.default	0	2026-07-22T18:20:28.189146814Z	2026-07-22T18:20:45.520623901Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_decode_m16.eager.default.log
required	semantics/tp4_allreduce_decode_m16.eager.nondefault	0	2026-07-22T18:20:45.523986445Z	2026-07-22T18:21:03.918796166Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_decode_m16.eager.nondefault.log
required	semantics/tp4_allreduce_decode_m16.cuda_graph.nondefault	0	2026-07-22T18:21:03.921909052Z	2026-07-22T18:21:21.569350427Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_decode_m16.cuda_graph.nondefault.log
required	semantics/tp4_allreduce_decode_m32.eager.default	0	2026-07-22T18:21:21.571924879Z	2026-07-22T18:21:39.779734625Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_decode_m32.eager.default.log
required	semantics/tp4_allreduce_decode_m32.eager.nondefault	0	2026-07-22T18:21:39.783148947Z	2026-07-22T18:21:57.669666722Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_decode_m32.eager.nondefault.log
required	semantics/tp4_allreduce_decode_m32.cuda_graph.nondefault	0	2026-07-22T18:21:57.671964258Z	2026-07-22T18:22:16.386320319Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_decode_m32.cuda_graph.nondefault.log
required	semantics/tp4_allreduce_prefill.eager.default	0	2026-07-22T18:22:16.389491370Z	2026-07-22T18:22:33.973151338Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_prefill.eager.default.log
required	semantics/tp4_allreduce_prefill.eager.nondefault	0	2026-07-22T18:22:33.975893997Z	2026-07-22T18:22:53.865829263Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_prefill.eager.nondefault.log
required	semantics/tp4_allreduce_prefill.cuda_graph.nondefault	0	2026-07-22T18:22:53.868421811Z	2026-07-22T18:23:12.315718563Z	/tmp/tp_allreduce_reachability_20260722T181038Z/semantics/tp4_allreduce_prefill.cuda_graph.nondefault.log
required	baseline/m16_run1	0	2026-07-22T18:23:12.318532778Z	2026-07-22T18:23:31.296522792Z	/tmp/tp_allreduce_reachability_20260722T181038Z/baseline/m16_run1.log
required	baseline/m16_run2	0	2026-07-22T18:23:31.299536261Z	2026-07-22T18:23:49.942875285Z	/tmp/tp_allreduce_reachability_20260722T181038Z/baseline/m16_run2.log
required	baseline/m16_run3	0	2026-07-22T18:23:49.945821767Z	2026-07-22T18:24:09.843628879Z	/tmp/tp_allreduce_reachability_20260722T181038Z/baseline/m16_run3.log
required	paired/m16_reference_control	0	2026-07-22T18:24:09.846048062Z	2026-07-22T18:24:29.852977309Z	/tmp/tp_allreduce_reachability_20260722T181038Z/paired/m16_reference_control.log
