requirement	step	exit_code	started_utc	finished_utc	log
required	environment/lock_receipt	0	2026-07-22T19:24:38.616933914Z	2026-07-22T19:24:38.635529065Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/lock_receipt.log
required	environment/source_identity	0	2026-07-22T19:24:38.638056335Z	2026-07-22T19:24:38.701644352Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/source_identity.log
required	environment/compute_processes_before	0	2026-07-22T19:24:38.704573297Z	2026-07-22T19:24:38.713450319Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/compute_processes_before.log
required	environment/check_env	0	2026-07-22T19:24:38.715894139Z	2026-07-22T19:24:47.093759951Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/check_env.log
required	environment/nvidia_smi	0	2026-07-22T19:24:47.097174975Z	2026-07-22T19:24:47.198252989Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/nvidia_smi.log
required	environment/topology	0	2026-07-22T19:24:47.200443162Z	2026-07-22T19:24:47.451615254Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/topology.log
required	environment/p2p_capability	0	2026-07-22T19:24:47.454601527Z	2026-07-22T19:24:47.715125159Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/p2p_capability.log
required	environment/nvlink_status	0	2026-07-22T19:24:47.717106497Z	2026-07-22T19:24:47.872871408Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/nvlink_status.log
required	environment/nvlink_throughput_before	0	2026-07-22T19:24:47.875449275Z	2026-07-22T19:24:48.181582420Z	/tmp/tp_allreduce_reachability_20260722T192433Z/environment/nvlink_throughput_before.log
required	reachability/m16	0	2026-07-22T19:24:48.184361249Z	2026-07-22T19:25:05.531271576Z	/tmp/tp_allreduce_reachability_20260722T192433Z/reachability/m16.log
required	reachability/m32	0	2026-07-22T19:25:05.533375541Z	2026-07-22T19:25:25.002629562Z	/tmp/tp_allreduce_reachability_20260722T192433Z/reachability/m32.log
required	reachability/prefill	0	2026-07-22T19:25:25.005982186Z	2026-07-22T19:25:42.532874302Z	/tmp/tp_allreduce_reachability_20260722T192433Z/reachability/prefill.log
required	semantics/tp4_allreduce_decode_m16.eager.default	0	2026-07-22T19:25:42.534775508Z	2026-07-22T19:26:00.574225861Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_decode_m16.eager.default.log
required	semantics/tp4_allreduce_decode_m16.eager.nondefault	0	2026-07-22T19:26:00.577059995Z	2026-07-22T19:26:17.599306632Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_decode_m16.eager.nondefault.log
required	semantics/tp4_allreduce_decode_m16.cuda_graph.nondefault	0	2026-07-22T19:26:17.602305669Z	2026-07-22T19:26:35.928256842Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_decode_m16.cuda_graph.nondefault.log
required	semantics/tp4_allreduce_decode_m32.eager.default	0	2026-07-22T19:26:35.930535473Z	2026-07-22T19:26:53.312644519Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_decode_m32.eager.default.log
required	semantics/tp4_allreduce_decode_m32.eager.nondefault	0	2026-07-22T19:26:53.314921714Z	2026-07-22T19:27:10.612523697Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_decode_m32.eager.nondefault.log
required	semantics/tp4_allreduce_decode_m32.cuda_graph.nondefault	0	2026-07-22T19:27:10.615255089Z	2026-07-22T19:27:28.085213768Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_decode_m32.cuda_graph.nondefault.log
required	semantics/tp4_allreduce_prefill.eager.default	0	2026-07-22T19:27:28.088613805Z	2026-07-22T19:27:48.751666006Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_prefill.eager.default.log
required	semantics/tp4_allreduce_prefill.eager.nondefault	0	2026-07-22T19:27:48.754103709Z	2026-07-22T19:28:08.093972538Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_prefill.eager.nondefault.log
required	semantics/tp4_allreduce_prefill.cuda_graph.nondefault	0	2026-07-22T19:28:08.096204415Z	2026-07-22T19:28:24.707428728Z	/tmp/tp_allreduce_reachability_20260722T192433Z/semantics/tp4_allreduce_prefill.cuda_graph.nondefault.log
required	baseline/m16_run1	0	2026-07-22T19:28:24.709706416Z	2026-07-22T19:28:43.374908425Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/m16_run1.log
required	baseline/m16_run2	0	2026-07-22T19:28:43.377311698Z	2026-07-22T19:29:01.976334995Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/m16_run2.log
required	baseline/m16_run3	0	2026-07-22T19:29:01.978654203Z	2026-07-22T19:29:19.571745072Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/m16_run3.log
required	paired/m16_reference_control	0	2026-07-22T19:29:19.573789993Z	2026-07-22T19:29:37.652638271Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m16_reference_control.log
attempt	paired/m16_c10d_inplace	0	2026-07-22T19:29:37.654840023Z	2026-07-22T19:29:56.033544167Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m16_c10d_inplace.log
attempt	paired/m16_c10d_outplace	1	2026-07-22T19:29:56.035231972Z	2026-07-22T19:30:12.120378847Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m16_c10d_outplace.log
required	paired/m16_c10d_abi_resolution	1	2026-07-22T19:30:12.122958011Z	2026-07-22T19:30:12.239229068Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m16_c10d_abi_resolution.log
required	baseline/m32_run1	0	2026-07-22T19:30:12.241410502Z	2026-07-22T19:30:29.956569161Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/m32_run1.log
required	baseline/m32_run2	0	2026-07-22T19:30:29.959455838Z	2026-07-22T19:30:49.256706609Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/m32_run2.log
required	baseline/m32_run3	0	2026-07-22T19:30:49.258778884Z	2026-07-22T19:31:05.886165024Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/m32_run3.log
required	paired/m32_reference_control	0	2026-07-22T19:31:05.888570905Z	2026-07-22T19:31:26.048085162Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m32_reference_control.log
attempt	paired/m32_c10d_inplace	0	2026-07-22T19:31:26.050194373Z	2026-07-22T19:31:46.250172476Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m32_c10d_inplace.log
attempt	paired/m32_c10d_outplace	1	2026-07-22T19:31:46.252576113Z	2026-07-22T19:32:03.999928018Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m32_c10d_outplace.log
required	paired/m32_c10d_abi_resolution	1	2026-07-22T19:32:04.003014120Z	2026-07-22T19:32:04.119925500Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/m32_c10d_abi_resolution.log
required	baseline/prefill_run1	0	2026-07-22T19:32:04.121906088Z	2026-07-22T19:32:21.807277509Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/prefill_run1.log
required	baseline/prefill_run2	0	2026-07-22T19:32:21.809642207Z	2026-07-22T19:32:40.285661089Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/prefill_run2.log
required	baseline/prefill_run3	0	2026-07-22T19:32:40.288473303Z	2026-07-22T19:32:59.278660899Z	/tmp/tp_allreduce_reachability_20260722T192433Z/baseline/prefill_run3.log
required	paired/prefill_reference_control	0	2026-07-22T19:32:59.281035692Z	2026-07-22T19:33:19.352257603Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/prefill_reference_control.log
attempt	paired/prefill_c10d_inplace	0	2026-07-22T19:33:19.354758572Z	2026-07-22T19:33:38.984145240Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/prefill_c10d_inplace.log
attempt	paired/prefill_c10d_outplace	1	2026-07-22T19:33:38.986602191Z	2026-07-22T19:33:54.811745594Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/prefill_c10d_outplace.log
required	paired/prefill_c10d_abi_resolution	1	2026-07-22T19:33:54.813880701Z	2026-07-22T19:33:54.924145245Z	/tmp/tp_allreduce_reachability_20260722T192433Z/paired/prefill_c10d_abi_resolution.log
